frequency,channel,power,log_power,patient
9.27734375,F3,8.737428150792155e-12,-11.058616382501516,Healthy
9.521484375,F3,1.0255267311702792e-11,-10.989053014916829,Healthy
9.765625,F3,8.418868435646781e-12,-11.074746277286488,Healthy
10.009765625,F3,7.40824112850914e-12,-11.130284890381647,Healthy
10.25390625,F3,5.318168475154093e-12,-11.274237908698549,Healthy
10.498046875,F3,4.090549535479615e-12,-11.38821834377883,Healthy
10.7421875,F3,4.00641751254001e-12,-11.39724379444734,Healthy
10.986328125,F3,3.3330627524443158e-12,-11.477156509686685,Healthy
11.23046875,F3,3.004914869154533e-12,-11.52216782728192,Healthy
11.474609375,F3,2.5273743136249584e-12,-11.597330432673209,Healthy
11.71875,F3,2.3303102066983964e-12,-11.63258626262632,Healthy
11.962890625,F3,2.2231398812024334e-12,-11.653033210390031,Healthy
12.20703125,F3,1.912468634754679e-12,-11.71840567871796,Healthy
12.451171875,F3,2.1334484553285762e-12,-11.670917845345937,Healthy
12.6953125,F3,1.7750058884689326e-12,-11.750800201862226,Healthy
12.939453125,F3,1.7088865056393937e-12,-11.76728677964982,Healthy
13.18359375,F3,1.8137137161219522e-12,-11.741431262656558,Healthy
13.427734375,F3,1.7407720670168153e-12,-11.759258090753622,Healthy
13.671875,F3,1.4798152452250225e-12,-11.829792502840125,Healthy
13.916015625,F3,1.4168478484598805e-12,-11.848676784983423,Healthy
